PropertyID,Category,Price,area,Rate/sqft,Posted Date
208864,Apartment,5200000,950.0 sq.ft. | 597.53 sq.ft.,5473,2024-10-18
139449,Other,5400000,623.0 sq.ft.,8667,2025-01-29
187883,Apartment,3000000,650.0 sq.ft. | 600.0 sq.ft. | 412.27 sq.ft.,4615,2024-10-24
160547,Other,5100000,990.0 sq.ft.,5151,2025-01-23
217888,Apartment,2800000,600.0 sq.ft. | 500.0 sq.ft. | 469.0 sq.ft.,4666,2024-10-23
217172,Apartment,5000000,950.0 sq.ft. | 708.0 sq.ft. | 597.53 sq.ft.,8367,2024-11-07
179996,Apartment,5600000,623.0 sq.ft. | 500.0 sq.ft.,8988,2025-03-22
194746,Apartment,5400000,623.0 sq.ft.,8186,2025-04-12
160572,Other,5500000,623.0 sq.ft.,8828,2025-01-04
86067,Apartment,5200000,950.0 sq.ft. | 597.53 sq.ft.,5473,2025-02-18
179350,Apartment,5300000,950.0 sq.ft. | 697.0 sq.ft.,5578,2025-03-06
113159,Apartment,3600000,650.0 sq.ft. | 469.0 sq.ft.,5538,2025-04-17
159249,Other,3000000,394.0 sq.ft.,7614,2025-01-03
113754,Apartment,5100000,709.0 sq.ft. | 609.0 sq.ft.,7193,2025-04-17
143509,Apartment,64000000,3289.0 sq.ft. | 2289.0 sq.ft.,19458,2025-02-04
91650,Apartment,19000000,2160.0 sq.ft. | 1620.0 sq.ft. | 1274.0 sq.ft.,8796,2025-02-24
191738,Penthouse,59800000,2945.0 sq.ft. | 2297.0 sq.ft.,20305,2024-10-27
206274,Apartment,38000000,2600.0 sq.ft.,14615,2024-10-13
186479,Apartment,11998000,1400.0 sq.ft. | 980.0 sq.ft.,8570,2025-03-12
216586,Apartment,19000000,1616.0 sq.ft.,11757,2024-11-18
87499,Penthouse,67000000,3500.0 sq.ft.,19142,2025-02-24
54511,Apartment,52000000,3050.0 sq.ft.,17049,2025-03-11
211212,Apartment,12000000,1185.0 sq.ft.,10126,2024-11-09
199576,Other,18000000,1503.0 sq.ft.,11976,2024-10-09
141661,Apartment,115000000,4800.0 sq.ft. | 3840.0 sq.ft. | 3360.0 sq.ft.,23958,2025-02-01
209801,Apartment,20900000,1577.0 sq.ft.,13950,2024-10-20
203142,Apartment,38500000,2450.0 sq.ft.,15714,2024-11-14
