property_category,posted_on,price_value
Villa,2025-02-17,31172727.272727273
Villa,2025-02-24,31840061.09090909
Villa,2025-03-03,42016153.84615385
Villa,2025-03-10,70633333.33333333
Villa,2025-03-17,31190980.0
Villa,2025-03-24,31142857.14285714
Villa,2025-03-31,40941176.47058824
Villa,2025-04-07,36085714.28571428
Villa,2025-04-14,43336538.461538464
Villa,2025-04-21,48444895.666666664
Villa,2025-04-28,49135000.0
Villa,2025-05-05,20250000.0
